"NrOferty","CenaPLN","KM","Marka","Model","LiczbaDrzwi","PojemnoscSkokowa","PrzebiegKm","RodzajPaliwa","RokProdukcji","Kolor","KrajPochodzenia","PojazdUszkodzony","SkrzyniaBiegow"
41,140000,211,"Audi","A5","2/3",1984,18500,"benzyna",2009,"srebrny-metallic","Polska","Nie","manualna"
42,24500,130,"Ford","Mondeo","4/5",1998,135200,"olej napędowy (diesel)",2004,"bordowy-metallic","Polska","Nie","automatyczna"
44,24990,90,"Peugeot","308","2/3",1560,117200,"olej napędowy (diesel)",2008,"srebrny-metallic","Francja","Nie","manualna"
45,31900,136,"Peugeot","407","4/5",2000,171000,"olej napędowy (diesel)",2006,"srebrny-metallic","Niemcy","Nie","automatyczna"
46,41382,105,"Volkswagen","Passat","4/5",1896,103000,"olej napędowy (diesel)",2007,"srebrny-metallic","Polska","Nie","manualna"
47,28900,90,"Opel","Astra","4/5",1300,104400,"olej napędowy (diesel)",2007,"niebieski-metallic","Polska","Nie","manualna"
48,78000,163,"BMW","520","4/5",2000,109000,"olej napędowy (diesel)",2008,"granatowy-metallic","Polska","Nie","manualna"
49,179900,240,"Audi","Q7","4/5",2967,84000,"olej napędowy (diesel)",2008,"granatowy-metallic","Polska","Nie","automatyczna"
50,17500,120,"Ford","Focus C-Max","4/5",1800,182000,"benzyna",2004,"szary-metallic","Polska","Nie","manualna"
52,11999,125,"Opel","Zafira","4/5",1796,180000,"benzyna",2001,"czarny-metallic","Niemcy","Nie","manualna"
53,12999,100,"Renault","Scenic","4/5",1870,168000,"olej napędowy (diesel)",2002,"srebrny-metallic","Niemcy","Nie","manualna"
54,15900,105,"Renault","Scenic","4/5",1900,165000,"olej napędowy (diesel)",2002,"srebrny-metallic","Niemcy","Nie","manualna"
55,64900,218,"BMW","530","4/5",2993,197000,"olej napędowy (diesel)",2004,"czarny-metallic","Niemcy","Nie","automatyczna"
56,37900,150,"Mercedes-Benz","C 220","4/5",2148,192000,"olej napędowy (diesel)",2006,"granatowy-metallic","Niemcy","Nie","automatyczna"
57,27000,147,"Toyota","Avensis","4/5",2000,175000,"benzyna",2003,"granatowy-metallic","Polska","Nie","manualna"
59,38900,105,"Opel","Vectra","4/5",1598,50000,"benzyna",2008,"grafitowy-metallic","Niemcy","Nie","manualna"
60,35900,136,"Peugeot","407","4/5",2000,149000,"olej napędowy (diesel)",2005,"srebrny-metallic","Niemcy","Nie","manualna"
61,41500,105,"Skoda","Octavia","4/5",1900,163000,"olej napędowy (diesel)",2008,"czarny-metallic","Niemcy","Nie","manualna"
62,62500,140,"Volkswagen","Golf","4/5",1968,27000,"olej napędowy (diesel)",2010,"czarny-metallic","Niemcy","Nie","automatyczna"
63,27500,130,"Volkswagen","Passat","4/5",1896,139368,"olej napędowy (diesel)",2005,"czarny-metallic","Polska","Nie","manualna"
64,16500,110,"Peugeot","307","2/3",1997,114000,"olej napędowy (diesel)",2003,"srebrny-metallic","Niemcy","Nie","manualna"
65,64900,190,"BMW","523","4/5",2497,81000,"benzyna",2008,"szary-metallic","Polska","Nie","manualna"
66,12000,90,"Peugeot","Partner","4/5",1997,130000,"olej napędowy (diesel)",2001,"wisniowy-metallic","Polska","Nie","manualna"
67,134900,329,"BMW","745","4/5",4423,96000,"olej napędowy (diesel)",2006,"granatowy-metallic","Niemcy","Nie","automatyczna"
68,43900,170,"Volkswagen","Passat","4/5",1968,113000,"olej napędowy (diesel)",2007,"srebrny-metallic","Polska","Nie","manualna"
69,28600,155,"Skoda","Superb","4/5",2496,213800,"olej napędowy (diesel)",2003,"czarny-metallic","Niemcy","Nie","automatyczna"
71,13999,102,"Ford","Transit","2/3",1998,217000,"olej napędowy (diesel)",2001,"bialy","Niemcy","Nie","manualna"
72,22900,100,"Opel","Vectra","4/5",1995,245000,"olej napędowy (diesel)",2003,"srebrny-metallic","Polska","Nie","manualna"
73,109000,290,"Audi","A6","4/5",2986,141000,"olej napędowy (diesel)",2008,"czarny-metallic","Niemcy","Nie","manualna"
74,23000,90,"Ford","Focus","4/5",1600,187,"olej napędowy (diesel)",2006,"grafitowy-metallic","Polska","Nie","manualna"
75,89500,286,"BMW","X3","4/5",2993,155000,"olej napędowy (diesel)",2007,"srebrny","Polska","Nie","automatyczna"
76,14500,80,"Peugeot","307","4/5",1600,176000,"benzyna",2001,"szary-metallic","Polska","Nie","manualna"
77,37900,131,"Audi","A4","4/5",1900,144000,"olej napędowy (diesel)",2004,"szary-metallic","Niemcy","Nie","manualna"
78,29500,80,"Volkswagen","Polo","4/5",1390,22062,"benzyna",2008,"niebieski-metallic","Polska","Nie","manualna"
79,28500,136,"Peugeot","407","4/5",1997,149000,"olej napędowy (diesel)",2005,"srebrny-metallic","Niemcy","Nie","automatyczna"
80,68500,105,"Skoda","Superb","4/5",1900,130000,"olej napędowy (diesel)",2009,"srebrny-metallic","Francja","Nie","manualna"
81,12500,100,"Opel","Astra","4/5",1995,182000,"olej napędowy (diesel)",2001,"zielony-metallic","Francja","Nie","manualna"
82,22900,130,"Renault","Laguna","4/5",1870,169000,"olej napędowy (diesel)",2007,"szary-metallic","Polska","Nie","manualna"
83,32900,147,"Peugeot","407","4/5",2000,220000,"olej napędowy (diesel)",2007,"czarny-metallic","Polska","Nie","manualna"
84,12900,110,"Fiat","Multipla","4/5",1900,183000,"olej napędowy (diesel)",2002,"niebieski-metallic","Niemcy","Nie","manualna"
85,32000,140,"Volkswagen","Touran","4/5",2000,130000,"olej napędowy (diesel)",2006,"szary-metallic","Niemcy","Nie","manualna"
86,38700,116,"Toyota","Avensis","4/5",2000,150000,"olej napędowy (diesel)",2004,"czarny-metallic","Niemcy","Nie","manualna"
88,82000,265,"Audi","S3","2/3",1984,145000,"benzyna",2007,"czarny","Polska","Nie","manualna"
89,27400,130,"Renault","Grand Scenic","4/5",1900,147000,"olej napędowy (diesel)",2007,"grafitowy-metallic","Francja","Nie","manualna"
90,29999,90,"Toyota","Auris","4/5",1364,172000,"olej napędowy (diesel)",2008,"srebrny","Polska","Nie","manualna"
91,23500,130,"Renault","Megane","4/5",1870,150200,"olej napędowy (diesel)",2007,"czerwony","Niemcy","Nie","manualna"
92,26200,90,"Opel","Astra","4/5",1248,108000,"olej napędowy (diesel)",2007,"srebrny-metallic","Niemcy","Nie","manualna"
93,62000,95,"Mercedes-Benz","A 160","4/5",1498,7000,"benzyna",2011,"czerwony","Polska","Nie","manualna"
94,43600,105,"Volkswagen","Jetta","4/5",1900,138000,"olej napędowy (diesel)",2008,"czarny-metallic","Francja","Nie","manualna"
95,24500,102,"Audi","A4","4/5",1595,174000,"benzyna",2003,"zielony-metallic","Niemcy","Nie","manualna"
97,62500,445,"BMW","760","4/5",5998,204100,"benzyna",2002,"zielony-metallic","Niemcy","Nie","automatyczna"
98,13900,70,"Peugeot","206","4/5",1398,136000,"olej napędowy (diesel)",2003,"niebieski","Polska","Nie","manualna"
99,39900,100,"Renault","Clio","4/5",1200,5750,"benzyna",2010,"czarny-metallic","Polska","Nie","manualna"
100,17900,97,"Toyota","Corolla","4/5",1398,210000,"benzyna",2004,"czerwony","Polska","Nie","manualna"
